ART_CO,,
1347,CZ5901-180,00A
1348,CZ5901-180,00A
1349,DA5640-001,00A
1350,DA5640-001,00A
1351,DA5640-001,00A
1352,DA5640-001,00A
1353,DA5640-001,00A
1354,DA5640-001,00A
1355,DA5640-001,00A
1356,DA5640-001,00A
1357,DA5640-001,00A
1358,DA5640-001,00A
1359,DA5640-001,00A
1360,DA5640-001,00A
1361,DA5640-001,00A
1362,DA5640-001,00A
1363,DA5640-001,00A
1364,DA5640-001,00A
1365,DA5640-001,00A
1366,DA5640-001,00A
1367,DA5640-001,00A
1368,DA5640-004,00A
1369,DA5640-004,00A
1370,DA5640-004,00A
1371,DA5640-004,00A
1372,DA5640-004,00A
1373,DA5640-004,00A
1374,DA5640-004,00A
1375,DA5640-004,00A
1376,DA5640-004,00A
1377,DA5640-004,00A
1378,DA5640-004,00A
1379,DA5640-004,00A
1380,DA5640-004,00A
1381,DA5640-004,00A
1382,DA5640-004,00A
1383,DA5640-004,00A
1384,DA5640-004,00A
1385,DA5640-004,00A
1386,DA5640-004,00A
1387,DA5640-007,00A
1388,DA5640-007,00A
1389,DA5640-007,00A
1390,DA5640-007,00A
1391,DA5640-007,00A
1392,DA5640-007,00A
1393,DA5640-007,00A
1394,DA5640-007,00A
1395,DA5640-007,00A
1396,DA5640-007,00A
1397,DA5640-007,00A
1398,DA5640-007,00A
1399,DA5640-007,00A
1400,DA5640-007,00A
1401,DA5640-007,00A
1402,DA5640-007,00A
1403,DA5640-007,00A
1404,DA5640-007,00A
1405,DA5640-007,00A
1406,DA5640-167,6CD
1407,DA5640-167,6CD
1408,DA5640-167,6CD
1409,DA5640-167,6CD
1410,DA5640-167,6CD
1411,DA5640-167,6CD
1412,DA5640-167,6CD
1413,DA5640-167,6CD
1414,DA5640-167,6CD
1415,DA5640-167,6CD
1416,DA5640-167,6CD
1417,DA5640-167,6CD
1418,DA5640-167,6CD
1419,DA5640-167,6CD
1420,DA5640-167,6CD
1421,DA5640-167,6CD
1422,DA5640-167,6CD
1423,DA5640-167,6CD
1424,DA5640-167,6CD
1425,DA5640-407,11M
1426,DA5640-407,11M
1427,DA5640-407,11M
1428,DA5640-407,11M
1429,DA5640-407,11M
1430,DA5640-407,11M
1431,DA5640-407,11M
1432,DA5640-407,11M
1433,DA5640-407,11M
1434,DA5640-407,11M
1435,DA5640-407,11M
1436,DA5640-407,11M
1437,DA5640-407,11M
1438,DA5640-407,11M
1439,DA5640-407,11M
1440,DA5640-407,11M
1441,DA5640-407,11M
1442,DA5640-407,11M
1443,DA5640-407,11M
1444,DA5640-808,80S
1445,DA5640-808,80S
1446,DA5640-808,80S
1447,DA5640-808,80S
1448,DA5640-808,80S
1449,DA5640-808,80S
1450,DA5640-808,80S
1451,DA5640-808,80S
1452,DA5640-808,80S
1453,DA5640-808,80S
1454,DA5640-808,80S
1455,DA5640-808,80S
1456,DA5640-808,80S
1457,DA5640-808,80S
1458,DA5640-808,80S
1459,DA5640-808,80S
1460,DA5640-808,80S
1461,DA5640-808,80S
1462,DA5640-808,80S
1463,DB2856-506,4NL
1464,DB2856-506,4NL
1465,DB2856-506,4NL
1466,DB2856-506,4NL
1467,DB2856-506,4NL
1468,DB2856-506,4NL
1469,DB2856-506,4NL
1470,DB2856-506,4NL
1471,DB2856-506,4NL
1472,DB2856-506,4NL
1473,DB2856-506,4NL
1474,DB2856-506,4NL
1475,DB2856-506,4NL
1476,DB2856-506,4NL
1477,DB2856-506,4NL
1478,DB2856-506,4NL
1479,DB2856-506,4NL
1480,DB2856-506,4NL
1481,DB2856-506,4NL
1482,DB2855-600,67J
1483,DB2855-600,67J
1484,DB2855-600,67J
1485,DB2855-600,67J
1486,DB2855-600,67J
1487,DB2855-600,67J
1488,DB2855-600,67J
1489,DB2855-600,67J
1490,DB2855-600,67J
1491,DB2855-600,67J
1492,DB2855-600,67J
1493,DB2855-600,67J
1494,DB2855-600,67J
1495,DB2855-600,67J
1496,DB2855-600,67J
1497,DB2855-600,67J
1498,DB2855-600,67J
1499,DB2855-600,67J
1500,DB2855-600,67J
1501,DC0819-001,00A
1502,DC0819-001,00A
1503,DC0819-001,00A
1504,DC0819-001,00A
1505,DC0819-001,00A
1506,DC0819-001,00A
1507,DC0819-001,00A
1508,DC0819-001,00A
1509,DC0819-001,00A
1510,DC0819-001,00A
1511,DC0819-001,00A
1512,DC0819-001,00A
1513,DC0819-001,00A
1514,DC0819-001,00A
1515,DC0819-001,00A
1516,DC0819-001,00A
1517,DC0819-001,00A
1518,DC0819-001,00A
1519,DC0819-001,00A
1520,DC0819-004,00A
1521,DC0819-004,00A
1522,DC0819-004,00A
1523,DC0819-004,00A
1524,DC0819-004,00A
1525,DC0819-004,00A
1526,DC0819-004,00A
1527,DC0819-004,00A
1528,DC0819-004,00A
1529,DC0819-004,00A
1530,DC0819-004,00A
1531,DC0819-004,00A
1532,DC0819-004,00A
1533,DC0819-004,00A
1534,DC0819-004,00A
1535,DC0819-004,00A
1536,DC0819-004,00A
1537,DC0819-004,00A
1538,DC0819-004,00A
1539,DC0819-007,00A
1540,DC0819-007,00A
1541,DC0819-007,00A
1542,DC0819-007,00A
1543,DC0819-007,00A
1544,DC0819-007,00A
1545,DC0819-007,00A
1546,DC0819-007,00A
1547,DC0819-007,00A
1548,DC0819-007,00A
1549,DC0819-007,00A
1550,DC0819-007,00A
1551,DC0819-007,00A
1552,DC0819-007,00A
1553,DC0819-007,00A
1554,DC0819-007,00A
1555,DC0819-007,00A
1556,DC0819-007,00A
1557,DC0819-007,00A
1558,DC0819-054,59A
1559,DC0819-054,59A
1560,DC0819-054,59A
1561,DC0819-054,59A
1562,DC0819-054,59A
1563,DC0819-054,59A
1564,DC0819-054,59A
1565,DC0819-054,59A
1566,DC0819-054,59A
1567,DC0819-054,59A
1568,DC0819-054,59A
1569,DC0819-054,59A
1570,DC0819-054,59A
1571,DC0819-054,59A
1572,DC0819-054,59A
1573,DC0819-054,59A
1574,DC0819-054,59A
1575,DC0819-054,59A
1576,DC0819-054,59A
1577,DC0819-167,6CD
1578,DC0819-167,6CD
1579,DC0819-167,6CD
1580,DC0819-167,6CD
1581,DC0819-167,6CD
1582,DC0819-167,6CD
1583,DC0819-167,6CD
1584,DC0819-167,6CD
1585,DC0819-167,6CD
1586,DC0819-167,6CD
1587,DC0819-167,6CD
1588,DC0819-167,6CD
1589,DC0819-167,6CD
1590,DC0819-167,6CD
1591,DC0819-167,6CD
1592,DC0819-167,6CD
1593,DC0819-167,6CD
1594,DC0819-167,6CD
1595,DC0819-167,6CD
1596,DC0819-407,11M
1597,DC0819-407,11M
1598,DC0819-407,11M
1599,DC0819-407,11M
1600,DC0819-407,11M
1601,DC0819-407,11M
1602,DC0819-407,11M
1603,DC0819-407,11M
1604,DC0819-407,11M
1605,DC0819-407,11M
1606,DC0819-407,11M
1607,DC0819-407,11M
1608,DC0819-407,11M
1609,DC0819-407,11M
1610,DC0819-407,11M
1611,DC0819-407,11M
1612,DC0819-407,11M
1613,DC0819-407,11M
1614,DC0819-407,11M
1615,DC0819-808,80S
1616,DC0819-808,80S
1617,DC0819-808,80S
1618,DC0819-808,80S
1619,DC0819-808,80S
1620,DC0819-808,80S
1621,DC0819-808,80S
1622,DC0819-808,80S
1623,DC0819-808,80S
1624,DC0819-808,80S
1625,DC0819-808,80S
1626,DC0819-808,80S
1627,DC0819-808,80S
1628,DC0819-808,80S
1629,DC0819-808,80S
1630,DC0819-808,80S
1631,DC0819-808,80S
1632,DC0819-808,80S
1633,DC0819-808,80S
1634,DD9482-010,00A
1635,DD9482-010,00A
1636,DD9482-010,00A
1637,DD9482-010,00A
1638,DD9482-010,00A
1639,DD9482-010,00A
1640,DD9482-010,00A
1641,DD9482-010,00A
1642,DD9482-010,00A
1643,DD9482-010,00A
1644,DD9482-010,00A
1645,DD9482-010,00A
1646,DD9482-010,00A
1647,DD9482-010,00A
1648,DD9482-010,00A
1649,DD9482-010,00A
1650,DD9482-010,00A
1651,DD9482-010,00A
1652,DD9482-010,00A
1653,DD9482-446,00A
1654,DD9482-446,00A
1655,DD9482-446,00A
1656,DD9482-446,00A
1657,DD9482-446,00A
1658,DD9482-446,00A
1659,DD9482-446,00A
1660,DD9482-446,00A
1661,DD9482-446,00A
1662,DD9482-446,00A
1663,DD9482-446,00A
1664,DD9482-446,00A
1665,DD9482-446,00A
1666,DD9482-446,00A
1667,DD9482-446,00A
1668,DD9482-446,00A
1669,DD9482-446,00A
1670,DD9482-446,00A
1671,DD9482-446,00A
1672,DD9483-010,00A
1673,DD9483-010,00A
1674,DD9483-010,00A
1675,DD9483-010,00A
1676,DD9483-010,00A
1677,DD9483-010,00A
1678,DD9483-010,00A
1679,DD9483-010,00A
1680,DD9483-010,00A
1681,DD9483-010,00A
1682,DD9483-010,00A
1683,DD9483-010,00A
1684,DD9483-010,00A
1685,DD9483-010,00A
1686,DD9483-010,00A
1687,DD9483-010,00A
1688,DD9483-010,00A
1689,DD9483-010,00A
1690,DD9483-010,00A
1691,DD9483-446,00A
1692,DD9483-446,00A
1693,DD9483-446,00A
1694,DD9483-446,00A
1695,DD9483-446,00A
1696,DD9483-446,00A
1697,DD9483-446,00A
1698,DD9483-446,00A
1699,DD9483-446,00A
1700,DD9483-446,00A
1701,DD9483-446,00A
1702,DD9483-446,00A
1703,DD9483-446,00A
1704,DD9483-446,00A
1705,DD9483-446,00A
1706,DD9483-446,00A
1707,DD9483-446,00A
1708,DD9483-446,00A
1709,DD9483-446,00A
1710,DJ2903-007,00A
1711,DJ2903-007,00A
1712,DJ2903-007,00A
1713,DJ2903-007,00A
1714,DJ2903-007,00A
1715,DJ2903-007,00A
1716,DJ2903-007,00A
1717,DJ2903-007,00A
1718,DJ2903-007,00A
1719,DJ2903-007,00A
1720,DJ2903-007,00A
1721,DJ2903-007,00A
1722,DJ2903-007,00A
1723,DJ2903-007,00A
1724,DJ2903-007,00A
1725,DJ2903-007,00A
1726,DJ2903-007,00A
1727,DJ2903-007,00A
1728,DJ2903-007,00A
1729,DJ2903-484,47B
1730,DJ2903-484,47B
1731,DJ2903-484,47B
1732,DJ2903-484,47B
1733,DJ2903-484,47B
1734,DJ2903-484,47B
1735,DJ2903-484,47B
1736,DJ2903-484,47B
1737,DJ2903-484,47B
1738,DJ2903-484,47B
1739,DJ2903-484,47B
1740,DJ2903-484,47B
1741,DJ2903-484,47B
1742,DJ2903-484,47B
1743,DJ2903-484,47B
1744,DJ2903-484,47B
1745,DJ2903-484,47B
1746,DJ2903-484,47B
1747,DJ2903-484,47B
1748,DJ2904-007,00A
1749,DJ2904-007,00A
1750,DJ2904-007,00A
1751,DJ2904-007,00A
1752,DJ2904-007,00A
1753,DJ2904-007,00A
1754,DJ2904-007,00A
1755,DJ2904-007,00A
1756,DJ2904-007,00A
1757,DJ2904-007,00A
1758,DJ2904-007,00A
1759,DJ2904-007,00A
1760,DJ2904-007,00A
1761,DJ2904-007,00A
1762,DJ2904-007,00A
1763,DJ2904-007,00A
1764,DJ2904-007,00A
1765,DJ2904-007,00A
1766,DJ2904-007,00A
1767,DJ2904-054,47B
1768,DJ2904-054,47B
1769,DJ2904-054,47B
1770,DJ2904-054,47B
1771,DJ2904-054,47B
1772,DJ2904-054,47B
1773,DJ2904-054,47B
1774,DJ2904-054,47B
1775,DJ2904-054,47B
1776,DJ2904-054,47B
1777,DJ2904-054,47B
1778,DJ2904-054,47B
1779,DJ2904-054,47B
1780,DJ2904-054,47B
1781,DJ2904-054,47B
1782,DJ2904-054,47B
1783,DJ2904-054,47B
1784,DJ2904-054,47B
1785,DJ2904-054,47B
1786,DJ2904-484,47B
1787,DJ2904-484,47B
1788,DJ2904-484,47B
1789,DJ2904-484,47B
1790,DJ2904-484,47B
1791,DJ2904-484,47B
1792,DJ2904-484,47B
1793,DJ2904-484,47B
1794,DJ2904-484,47B
1795,DJ2904-484,47B
1796,DJ2904-484,47B
1797,DJ2904-484,47B
1798,DJ2904-484,47B
1799,DJ2904-484,47B
1800,DJ2904-484,47B
1801,DJ2904-484,47B
1802,DJ2904-484,47B
1803,DJ2904-484,47B
1804,DJ2904-484,47B
1805,DJ5961-001,00A
1806,DJ5961-001,00A
1807,DJ5961-001,00A
1808,DJ5961-001,00A
1809,DJ5961-001,00A
1810,DJ5961-001,00A
1811,DJ5961-001,00A
1812,DJ5961-001,00A
1813,DJ5961-001,00A
1814,DJ5961-001,00A
1815,DJ5961-001,00A
1816,DJ5961-001,00A
1817,DJ5961-001,00A
1818,DJ5961-001,00A
1819,DJ5961-001,00A
1820,DJ5961-001,00A
1821,DJ5961-001,00A
1822,DJ5961-001,00A
1823,DJ5961-001,00A
1824,DJ5961-146,40X
1825,DJ5961-146,40X
1826,DJ5961-146,40X
1827,DJ5961-146,40X
1828,DJ5961-146,40X
1829,DJ5961-146,40X
1830,DJ5961-146,40X
1831,DJ5961-146,40X
1832,DJ5961-146,40X
1833,DJ5961-146,40X
1834,DJ5961-146,40X
1835,DJ5961-146,40X
1836,DJ5961-146,40X
1837,DJ5961-146,40X
1838,DJ5961-146,40X
1839,DJ5961-146,40X
1840,DJ5961-146,40X
1841,DJ5961-146,40X
1842,DJ5961-146,40X
1843,DJ5961-780,79S
1844,DJ5961-780,79S
1845,DJ5961-780,79S
1846,DJ5961-780,79S
1847,DJ5961-780,79S
1848,DJ5961-780,79S
1849,DJ5961-780,79S
1850,DJ5961-780,79S
1851,DJ5961-780,79S
1852,DJ5961-780,79S
1853,DJ5961-780,79S
1854,DJ5961-780,79S
1855,DJ5961-780,79S
1856,DJ5961-780,79S
1857,DJ5961-780,79S
1858,DJ5961-780,79S
1859,DJ5961-780,79S
1860,DJ5961-780,79S
1861,DJ5961-780,79S
1862,DJ5963-001,00A
1863,DJ5963-001,00A
1864,DJ5963-001,00A
1865,DJ5963-001,00A
1866,DJ5963-001,00A
1867,DJ5963-001,00A
1868,DJ5963-001,00A
1869,DJ5963-001,00A
1870,DJ5963-001,00A
1871,DJ5963-001,00A
1872,DJ5963-001,00A
1873,DJ5963-001,00A
1874,DJ5963-001,00A
1875,DJ5963-001,00A
1876,DJ5963-001,00A
1877,DJ5963-001,00A
1878,DJ5963-001,00A
1879,DJ5963-001,00A
1880,DJ5963-001,00A
1881,DJ5963-146,40X
1882,DJ5963-146,40X
1883,DJ5963-146,40X
1884,DJ5963-146,40X
1885,DJ5963-146,40X
1886,DJ5963-146,40X
1887,DJ5963-146,40X
1888,DJ5963-146,40X
1889,DJ5963-146,40X
1890,DJ5963-146,40X
1891,DJ5963-146,40X
1892,DJ5963-146,40X
1893,DJ5963-146,40X
1894,DJ5963-146,40X
1895,DJ5963-146,40X
1896,DJ5963-146,40X
1897,DJ5963-146,40X
1898,DJ5963-146,40X
1899,DJ5963-146,40X
1900,DJ5963-780,79S
1901,DJ5963-780,79S
1902,DJ5963-780,79S
1903,DJ5963-780,79S
1904,DJ5963-780,79S
1905,DJ5963-780,79S
1906,DJ5963-780,79S
1907,DJ5963-780,79S
1908,DJ5963-780,79S
1909,DJ5963-780,79S
1910,DJ5963-780,79S
1911,DJ5963-780,79S
1912,DJ5963-780,79S
1913,DJ5963-780,79S
1914,DJ5963-780,79S
1915,DJ5963-780,79S
1916,DJ5963-780,79S
1917,DJ5963-780,79S
1918,DJ5963-780,79S
1919,DM0730-003,3KX
1920,DM0730-003,3KX
1921,DM0730-003,3KX
1922,DM0730-003,3KX
1923,DM0730-003,3KX
1924,DM0730-003,3KX
1925,DM0730-003,3KX
1926,DM0730-003,3KX
1927,DM0730-003,3KX
1928,DM0730-003,3KX
1929,DM0730-003,3KX
1930,DM0730-003,3KX
1931,DM0730-003,3KX
1932,DM0730-003,3KX
1933,DM0730-003,3KX
1934,DM0730-003,3KX
1935,DM0730-003,3KX
1936,DM0730-003,3KX
1937,DM0730-003,3KX
1938,DR5952-810,10A
1939,DR5952-810,10A
1940,DR5952-810,10A
1941,DR5952-810,10A
1942,DR5952-810,10A
1943,DR5952-810,10A
1944,DR5952-810,10A
1945,DR5952-810,10A
1946,DR5952-810,10A
1947,DR5952-810,10A
1948,DR5952-810,10A
1949,DR5952-810,10A
1950,DR5952-810,10A
1951,DR5952-810,10A
1952,DR5952-810,10A
1953,DR5952-810,10A
1954,DR5952-810,10A
1955,DR5952-810,10A
1956,DR5952-810,10A
1957,DR5953-810,10A
1958,DR5953-810,10A
1959,DR5953-810,10A
1960,DR5953-810,10A
1961,DR5953-810,10A
1962,DR5953-810,10A
1963,DR5953-810,10A
1964,DR5953-810,10A
1965,DR5953-810,10A
1966,DR5953-810,10A
1967,DR5953-810,10A
1968,DR5953-810,10A
1969,DR5953-810,10A
1970,DR5953-810,10A
1971,DR5953-810,10A
1972,DR5953-810,10A
1973,DR5953-810,10A
1974,DR5953-810,10A
1975,DR5953-810,10A
1976,DR5967-810,10A
1977,DR5967-810,10A
1978,DR5967-810,10A
1979,DR5967-810,10A
1980,DR5967-810,10A
1981,DR5967-810,10A
1982,DR5967-810,10A
1983,DR5967-810,10A
1984,DR5967-810,10A
1985,DR5967-810,10A
1986,DR5967-810,10A
1987,DR5967-810,10A
1988,DR5967-810,10A
1989,DR5967-810,10A
1990,DR5967-810,10A
1991,DR5967-810,10A
1992,DR5967-810,10A
1993,DR5967-810,10A
1994,DR5967-810,10A
1995,DR5968-810,10A
1996,DR5968-810,10A
1997,DR5968-810,10A
1998,DR5968-810,10A
1999,DR5968-810,10A
2000,DR5968-810,10A
2001,DR5968-810,10A
2002,DR5968-810,10A
2003,DR5968-810,10A
2004,DR5968-810,10A
2005,DR5968-810,10A
2006,DR5968-810,10A
2007,DR5968-810,10A
2008,DR5968-810,10A
2009,DR5968-810,10A
2010,DR5968-810,10A
2011,DR5968-810,10A
2012,DR5968-810,10A
2013,DR5968-810,10A
